Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Supporting FAIR Data Principles with Fedora","Fedora supports FAIR data principles through persistent identifiers, rich metadata, and active community participation in related initiatives.","David Wilcox",2018,3,"Making data findable, accessible, interoperable, and re-usable is an important but challenging goal. From an infrastructure perspective, repository technologies play a key role in supporting FAIR data principles. Fedora is a flexible, extensible, open source repository platform for managing, preserving, and providing access to digital content. Fedora is used in a wide variety of institutions including libraries, museums, archives, and government organizations. Fedora provides native linked data capabilities and a modular architecture based on well-documented APIs and ease of integration with existing applications. As both a project and a community, Fedora has been increasingly focused on research data management, making it well-suited to supporting FAIR data principles as a repository platform. 
 
Fedora provides strong support for persistent identifiers, both by minting HTTP URIs for each resource and by allowing any number of additional identifiers to be associated with resources as RDF properties. Fedora also supports rich metadata in any schema that can be indexed and disseminated using a variety of protocols and services. As a linked data server, Fedora allows resources to be semantically linked both within the repository and on the broader web. Along with these and other features supporting research data management, the Fedora community has been actively participating in related initiatives, most notably the Research Data Alliance. Fedora representatives participate in a number of interest and working groups focused on requirements and interoperability for research data repository platforms. This participation allows the Fedora project to both influence and be influenced by an international group of Research Data Alliance stakeholders. 
 
This paper will describe how Fedora supports FAIR data principles, both in terms of relevant features and community participation in related initiatives.","","LIBER QUARTERLY","2","10.18352/LQ.10247","https://consensus.app/papers/supporting-fair-data-principles-with-fedora-wilcox/8e96a51f8ee6578e96c1aa6b32808434/"
"The concept of fairness in the GDPR: a linguistic and contextual interpretation","Fairness in the GDPR refers to a substantial balancing of interests between data controllers and data subjects, focusing on mitigating vulnerabilities through specific safeguards and measures.","Gianclaudio Malgieri",2020,51,"There is a growing attention on the notion of fairness in the GDPR in the European legal literature. However, the principle of fairness in the Data Protection framework is still ambiguous and uncertain, as computer science literature and interpretative guidelines reveal. This paper looks for a better understanding of the concept of fairness in the data protection field through two parallel methodological tools: linguistic comparison and contextual interpretation. In terms of linguistic comparison, the paper analyses all translations of the world ""fair"" in the GDPR in the EU official languages, as the CJEU suggests in CILFIT Case for the interpretation of the EU law. The analysis takes into account also the translation of the notion of fairness in other contiguous fields (e.g. at Article 8 of the EU Charter of fundamental rights or in the Consumer field, e.g. Unfair terms directive or Unfair commercial practice directive). In general, the notion of fairness is translated with several different nuances (in accordance or in discordance with the previous Data protection Directive and with Article 8 of the Charter) In some versions different words are used interchangeably (it is the case of French, Spanish and Portuguese texts), in other versions there seems to be a specific rationale for using different terms in different parts of the GDPR (it is the case of German and Greek version). The analysis reveals three mean semantic notions: correctness (Italian, Swedish, Romanian), loyalty (French, Spanish, Portuguese and the German version of ""Treu und Glaube"") and equitability (French, Spanish and Portuguese). Interestingly, these three notions have common roots in the Western legal history: the Roman law notion of ""bona fide"". Taking into account both the value of ""bona fide"" in the current European legal contexts and also a contextual interpretation of the role of fairness in the GDPR, the preliminary conclusions is that fairness refers to a substantial balancing of interests among data controllers and data subjects. The approach of fairness is effect-based: what is relevant is not the formal respect of procedures (in terms of transparency, lawfulness or accountability), but the substantial mitigation of unfair imbalances that create situations of ""vulnerability"". Building on these reflections, the paper analyses how the notion of fairness and imbalance are related to the idea of vulnerability, within and beyond the GDPR. In sum, the article suggests that the best interpretation of the fairness principles in the GDPR (taking into account both the notion of procedural fairness and of fair balancing) is the mitigation of data subjects' vulnerabilities through specific safeguards and measures.","","Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency","","10.1145/3351095.3372868","https://consensus.app/papers/the-concept-of-fairness-in-the-gdpr-a-linguistic-and-malgieri/94bcf9693770562d9c31e1f5b55c30ac/"
"Community-driven governance of FAIRness assessment: an open issue, an open discussion","This paper proposes a community-driven governance model for FAIRness assessment, aiming to be trusted, broadly representative, appropriately scoped, and sustainable.","M. Wilkinson, Susanna-Assunta Sansone, Eva Méndez, R. David, Richard Dennis, David Hecker, Mari Kleemola, C. Lacagnina, Anastasija Nikiforova, Leyla Jael Castro",2022,8,"Although FAIR Research Data Principles are targeted at and implemented by different communities, research disciplines, and research stakeholders (data stewards, curators, etc.), there is no conclusive way to determine the level of FAIRness intended or required to make research artefacts (including, but not limited to, research data) Findable, Accessible, Interoperable, and Reusable. The FAIR Principles cover all types of digital objects, metadata, and infrastructures. However, they focus their narrative on data features that support their reusability. FAIR defines principles, not standards, and therefore they do not propose a mechanism to achieve the behaviours they describe in an attempt to be technology/implementation neutral. Various FAIR assessment metrics and tools have been designed to measure FAIRness. Unfortunately, the same digital objects assessed by different tools often exhibit widely different outcomes because of these independent interpretations of FAIR. This results in confusion among the publishers, the funders, and the users of digital research objects. Moreover, in the absence of a standard and transparent definition of what constitutes FAIR behaviours, there is a temptation to define existing approaches as being FAIR-compliant rather than having FAIR define the expected behaviours. This whitepaper identifies three high-level stakeholder categories -FAIR decision and policymakers, FAIR custodians, and FAIR practitioners - and provides examples outlining specific stakeholders' (hypothetical but anticipated) needs. It also examines possible models for governance based on the existing peer efforts, standardisation bodies, and other ways to acknowledge specifications and potential benefits. This whitepaper can serve as a starting point to foster an open discussion around FAIRness governance and the mechanism(s) that could be used to implement it, to be trusted, broadly representative, appropriately scoped, and sustainable. We invite engagement in this conversation in an open Google Group fair-assessment-governance@googlegroups.com.","","Open Research Europe","2","10.12688/openreseurope.15364.2","https://consensus.app/papers/communitydriven-governance-of-fairness-assessment-an-nikiforova-m%C3%A9ndez/05080ef066115ff4af21e7cf09093d33/"
"FAIRness for FHIR: Towards Making Health Datasets FAIR Using HL7 FHIR","The FHIR4FAIR project aims to create an HL7 FHIR Implementation Guide to support the FAIRification process for health datasets, simplifying curation, advancing interoperability, and providing a roadmap for FAIR certification.","A. Martínez-García, Giorgio Cangioli, C. Chronaki, Matthias Löbe, O. Beyan, Anthony Juehne, C. P. Calderón",2022,5,"Medical data science aims to facilitate knowledge discovery assisting in data, algorithms, and results analysis. The FAIR principles aim to guide scientific data management and stewardship, and are relevant to all digital health ecosystem stakeholders. The FAIR4Health project aims to facilitate and encourage the health research community to reuse datasets derived from publicly funded research initiatives using the FAIR principles. The 'FAIRness for FHIR' project aims to provide guidance on how HL7 FHIR could be utilized as a common data model to support the health datasets FAIRification process. This first expected result is an HL7 FHIR Implementation Guide (IG) called FHIR4FAIR, covering how FHIR can be used to cover FAIRification in different scenarios. This IG aims to provide practical underpinnings for the FAIR4Health FAIRification workflow as a domain-specific extension of the GoFAIR process, while simplifying curation, advancing interoperability, and providing insights into a roadmap for health datasets FAIR certification.","","Studies in health technology and informatics","3","10.3233/SHTI220024","https://consensus.app/papers/fairness-for-fhir-towards-making-health-datasets-fair-beyan-juehne/f717d23a5d845a2799fde471f184f7b9/"
"Development and Governance of FAIR Thresholds for a Data Federation","FAIR thresholds were developed for the agricultural research domain, aligning expectations for data delivered from providers' distributed data stores and supporting data providers to make data more FAIR.","Megan Wong, Kerry Levett, Ashlin Lee, P. Box, B. Simons, Rakesh David, A. Macleod, Nicolas Taylor, Derek A. Schneider, Helen Thompson",2022,5,"The FAIR (findable, accessible, interoperable, and re-usable) principles and practice recommendations provide high level guidance and recommendations that are not research-domain specific in nature. There remains a gap in practice at the data provider and domain scientist level demonstrating how the FAIR principles can be applied beyond a set of generalist guidelines to meet the needs of a specific domain community. We present our insights developing FAIR thresholds in a domain specific context for self-governance by a community (agricultural research). ‘Minimum thresholds’ for FAIR data are required to align expectations for data delivered from providers’ distributed data stores through a community-governed federation (the Agricultural Research Federation, AgReFed). Data providers were supported to make data holdings more FAIR. There was a range of different FAIR starting points, organisational goals, and end user needs, solutions, and capabilities. This informed the distilling of a set of FAIR criteria ranging from ‘Minimum thresholds’ to ‘Stretch targets’. These were operationalised through consensus into a framework for governance and implementation by the agricultural research domain community.","","Data Sci. J.","1","10.5334/dsj-2022-013","https://consensus.app/papers/development-and-governance-of-fair-thresholds-for-a-data-macleod-simons/cc42dec35e835e4586ebc0e7ef6cb692/"
"Making FAIR trustworthy","FAIR principles for scientific data management can foster trust in the scientific community if balanced discussions are held on epistemic costs and benefits.","Anamika Chatterjee, T. Swierstra",2021,0,"The life sciences community is now increasingly leaning on the processing powers of machines to carry out advanced scientific research. So in order to adequately exploit the capabilities of machines in science, the FAIR (Findable, Accessible, Interoperable, Reusable) principles for scientific data management and stewardship have been proposed. These principles are to assist scientists in tweaking their established research routines so as to unlock the true potential of machines and contribute to better science. However, through interviews with key scientist groups implicated by FAIR we have learned that doing what FAIR demands also presents certain epistemic concerns that discourage scientists to trust FAIR. One such concern is the loss of valuable knowledge in the translation of versatile human readable research output to a restricted, machine friendly language to enable machine action (semantic freedom). A second concern is evident in the displacement of human expertise by this increasing reliance on machines and the ensuing loss of knowledge contributed by these displaced experts (expert intuition). Thus, through this article, we highlight how incorporating FAIR also presents an epistemic loss to the scientific community. But the lack of attention given to these concerns by the proponents of FAIR offers scientists who have to abide by FAIR sufficient reason to resist it. We thus propose that while the implementation of FAIR has so far been paternalistic and top-down, such concerns have also made the scientist sceptical. So by initiating a more balanced, open and honest discussion of not just the benefits and promises of FAIR but also such epistemic costs, FAIR could lay to rest reasons for such scepticism and foster trust within the stakeholders of FAIR.","","","","10.31235/osf.io/x4csm","https://consensus.app/papers/making-fair-trustworthy-chatterjee-swierstra/417dbe5d43155e7a833f70dc9793f687/"
"FAIRifying STEM Data Ecosystem to Enhance Data Reuse","FAIR Data Principles can enhance data reuse in STEM education and research by complementing current practices with policies and infrastructure systems.","Phub Namgay, Pema Wangdi, Sangay Thinley, Thinley Namgyel",2023,1,"In the science, technology, engineering, and mathematics (STEM) community, academic and research workflows and work practices are increasingly mediated and informed by data. However, making digital materials and resources findable, accessible, interoperable, and reusable (FAIR) for teaching, learning, and research is an under-researched area. Thus, it is vital to examine the current data practices of STEM students and faculties and acquaint them with the FAIR data concept. FAIR Data Principles is a set of guidelines that underscore metadata, vocabularies, licences, and standards to enhance data reuse. A study was conducted among students and faculties in the STEM community of the Royal University of Bhutan (RUB) to unpack their current data practices and explore areas for improvement using the FAIR Data Principles. The STEM students and faculties of the RUB share and reuse digital materials and resources for teaching, learning, and research. Nevertheless, their data practice is not as widespread or desired in the literature on optimum data reuse. Moreover, the compliance of current data practices to the tenets of FAIR Data Principles is not satisfactory. A pragmatic solution is complementing data practices with policies and infrastructural systems that underscore FAIR Data Principles. A sensitisation programme such as seminars and hands-on exercises on data FAIRification is crucial to familiarise people with the essentialness of FAIR data, and doing so will provide a platform to develop their repertoire for FAIRifying data and encourage systematic sharing and reuse of data. An in-depth account of the FAIRifying STEM data ecosystem in the study contributes to the growing knowledge base on adopting FAIR Data Principles in other areas of data-informed work and life.","","2023 IEEE Frontiers in Education Conference (FIE)","","10.1109/FIE58773.2023.10343320","https://consensus.app/papers/fairifying-stem-data-ecosystem-to-enhance-data-reuse-thinley-namgyel/34a11fcc89d55fe2a9d8f09b9c16f135/"
"Applying Fair Principles to scholarly publishing outputs to improve open access compliance","Applying FAIR Principles to scholarly publications improves open access compliance, facilitating research access and reuse by other researchers and the wider community.","T. McNicol, E. Danilova",2019,0,"While the FAIR Principles were developed for research data, they can also be aptly applied to other research outputs. Applying FAIR Principles to scholarly publications ensures research can easily be found, accessed, used and re-purposed by others. Using these principles in the context of scholarly publishing helps facilitate access to publications by other researchers and the wider community. The existing services and infrastructure, provided by The University of Queensland Library Scholarly Communication & Repository Services (SCARS) team, supports practical implementation of some of the FAIR Principles in scholarly publishing. The Scholarly Publishing, Research Outputs & Impact, and UQ eSpace (institutional repository) teams from SCARS recently assisted a Research Centre with open access (OA) reporting. During the time the Centre was in operation the funder renewed their Open Access Policy mandating that all research outputs be made openly accessible within twelve months. This necessitated that the Centre had to approach the task of OA reporting retrospectively. The Research Outputs and Impact team provided metrics on how many publications by the researchers from the Centre were already available via open access at that time, predominantly via Gold OA. The Scholarly Publishing team provided advisory support on Green OA strategies to improve compliance. A project was undertaken by the Centre to identify and obtain author accepted manuscripts, which were then assessed by staff in the UQ eSpace team and uploaded to the repository in accordance with relevant copyright restrictions and embargo periods. As a result of the project, the Centre optimised their level of OA compliance, with over 92% of their publications recorded as OA at the time of completion of the work done with the UQ Library. This paper will demonstrate the practical methods employed by the SCARS teams that supported the Centre’s OA publishing efforts and the implementation of FAIR Principles. It will also discuss some of the work yet to be done to enhance Library systems and processes to better support all FAIR Principles.","","","","","https://consensus.app/papers/applying-fair-principles-to-scholarly-publishing-outputs-danilova-mcnicol/c0605120b28d575682b9cc53ad304b89/"
"FAIR Enabling Re-Use of Data-Intensive Workflows and Scientific Reproducibility","FAIR principles can enhance the reproducibility of performance and scientific results in data-intensive workflows, but face challenges in high performance computing and data-intensive communities.","Line C. Pouchard",2023,0,"Scientific computing communities often run their experiments using complex data- and compute-intensive workflows that utilize high performance computing (HPC), distributed clusters and specialized architectures targeting machine learning and artificial intelligence. FAIR principles for data and software can be useful enablers for the reproducibility of performance (a key HPC metric) and that of scientific results (a crucial tenet of the scientific method) that are based in part on re-use, the R of FAIR principles. FAIR principles are under-used by HPC and data-intensive communities who have been slow to adopt them. This is due in part to the complexity of workflow life cycles, the numerous workflow management systems, the lack of integration of FAIR within existing technologies, and the specificity of managed systems that include rapidly evolving architectures and software stacks, and execution models that require resource managers and batch schedulers. Numerous challenges emerge for scientists attempting to publish FAIR datasets and software for the purpose of re-use and reproducibility, e.g. what data to publish and where due to sizes, how to ""FAIRify"" data subsetting, at what level of granularity to attribute persistent identifiers to software, what is the minimal amount of metadata needed to guarantee a certain level of reproducibility, what does reproducible AI actually mean? This talk will focus on such challenges and illustrate the negative impact of not applying FAIR on the reproducibility of experiments. We will introduce the notion of FAIR Digital Objects and present RECUP, a framework for data and metadata services for high performance workflows that proposes micro-solutions for adapting FAIR principles to HPC.","","Companion of the 2023 ACM/SPEC International Conference on Performance Engineering","","10.1145/3578245.3586012","https://consensus.app/papers/fair-enabling-reuse-of-dataintensive-workflows-and-pouchard/20a7e08bca0a58d097567f6ac4da1711/"
"Enhancing Reproducibility in Research Through FAIR Digital Objects","FAIR Digital Objects (FDOs) enhance reproducibility in research by FAIRifying artifacts like code, software, and publications, improving data reuse and AI reproducibility.","Zeyd Boukhers, Leyla Jael Castro",2023,1,"The FAIR principles were introduced to enhance data reuse by providing guidelines for effective data management practices. In the broader context of research, assets encompass not only data but also artifacts such as code, software, and publications. FAIRifying these artifacts is as essential as FAIRifying data, given the increasing complexity of current AI approaches that make reproducibility extremely challenging. Therefore, the reuse of these artifacts is growing in importance. The concept of FAIR Digital Objects (FDOs) presents a solution to FAIRify these artifacts, treating them as FDOs. NFDI4DataScience is embracing FDOs and proposing an architecture to efficiently manage them.","","Proceedings of the Conference on Research Data Infrastructure","","10.52825/cordi.v1i.406","https://consensus.app/papers/enhancing-reproducibility-in-research-through-fair-boukhers-castro/21aa7a3f90355c059d6f70429344fd8d/"
"From Raw Data to FAIR Data: The FAIRification Workflow for Health Research","The proposed FAIRification workflow and technical architecture can effectively transform raw health datasets into FAIR data, enabling their reuse and sharing within the health research community.","Ali Anil Sinaci, Francisco Núñez-Benjumea, M. Gencturk, M. Jauer, T. Deserno, C. Chronaki, Giorgio Cangioli, Carlos Cavero-Barca, Juan M Rodríguez-Pérez, Manuel M. Pérez-Pérez, Gokce Banu Laleci Erturkmen, Tony Hernández-Pérez, Eva Méndez-Rodríguez, C. Parra-Calderón",2020,81,"Abstract Background FAIR (findability, accessibility, interoperability, and reusability) guiding principles seek the reuse of data and other digital research input, output, and objects (algorithms, tools, and workflows that led to that data) making them findable, accessible, interoperable, and reusable. GO FAIR - a bottom-up, stakeholder driven and self-governed initiative - defined a seven-step FAIRification process focusing on data, but also indicating the required work for metadata. This FAIRification process aims at addressing the translation of raw datasets into FAIR datasets in a general way, without considering specific requirements and challenges that may arise when dealing with some particular types of data. Objectives This scientific contribution addresses the architecture design of an open technological solution built upon the FAIRification process proposed by “GO FAIR” which addresses the identified gaps that such process has when dealing with health datasets. Methods A common FAIRification workflow was developed by applying restrictions on existing steps and introducing new steps for specific requirements of health data. These requirements have been elicited after analyzing the FAIRification workflow from different perspectives: technical barriers, ethical implications, and legal framework. This analysis identified gaps when applying the FAIRification process proposed by GO FAIR to health research data management in terms of data curation, validation, deidentification, versioning, and indexing. Results A technological architecture based on the use of Health Level Seven International (HL7) FHIR (fast health care interoperability resources) resources is proposed to support the revised FAIRification workflow. Discussion Research funding agencies all over the world increasingly demand the application of the FAIR guiding principles to health research output. Existing tools do not fully address the identified needs for health data management. Therefore, researchers may benefit in the coming years from a common framework that supports the proposed FAIRification workflow applied to health datasets. Conclusion Routine health care datasets or data resulting from health research can be FAIRified, shared and reused within the health research community following the proposed FAIRification workflow and implementing technical architecture.","","Methods of Information in Medicine","1","10.1055/s-0040-1713684","https://consensus.app/papers/from-raw-data-to-fair-data-the-fairification-workflow-for-deserno-chronaki/3d5b27524fc355acb6a93cb2bc9caf5e/"
"Making Machine Learning Datasets and Models FAIR for HPC: A Methodology and Case Study","Our methodology effectively improves the FAIRness of HPC datasets and machine learning models, increasing their findability, accessibility, interoperability, and reusability from 19.1% to 83.0%.","Pei-Hung Lin, C. Liao, Winson X. Chen, T. Vanderbruggen, M. Emani, Hailu Xu",2022,0,"The FAIR Guiding Principles aim to improve the findability, accessibility, interoperability, and reusability of digital content by making them both human and machine actionable. However, these principles have not yet been broadly adopted in the domain of machine learning-based program analyses and optimizations for High-Performance Computing (HPC). In this paper, we design a methodology to make HPC datasets and machine learning models FAIR after investigating existing FAIRness assessment and improvement techniques. Our methodology includes a comprehensive, quantitative assessment for elected data, followed by concrete, actionable suggestions to improve FAIRness with respect to common issues related to persistent identifiers, rich metadata descriptions, license and provenance information. Moreover, we select a representative training dataset to evaluate our methodology. The experiment shows the methodology can effectively improve the dataset and model’s FAIRness from an initial score of 19.1% to the final score of 83.0%.","","2022 Fourth International Conference on Transdisciplinary AI (TransAI)","","10.1109/TransAI54797.2022.00029","https://consensus.app/papers/making-machine-learning-datasets-and-models-fair-for-hpc-a-chen-vanderbruggen/d06fba506a09544aa36ecef32a66b4bd/"
"Initiatives, Concepts, and Implementation Practices of FAIR (Findable, Accessible, Interoperable, and Reusable) Data Principles in Health Data Stewardship Practice: Protocol for a Scoping Review","FAIR data principles in health data stewardship can strengthen data sharing and research transparency, benefiting both evidence-based clinical practice and research transparency.","E. Inau, Jean Sack, Dagmar Waltemath, A. Zeleke",2020,33,"Background Data stewardship is an essential driver of research and clinical practice. Data collection, storage, access, sharing, and analytics are dependent on the proper and consistent use of data management principles among the investigators. Since 2016, the FAIR (findable, accessible, interoperable, and reusable) guiding principles for research data management have been resonating in scientific communities. Enabling data to be findable, accessible, interoperable, and reusable is currently believed to strengthen data sharing, reduce duplicated efforts, and move toward harmonization of data from heterogeneous unconnected data silos. FAIR initiatives and implementation trends are rising in different facets of scientific domains. It is important to understand the concepts and implementation practices of the FAIR data principles as applied to human health data by studying the flourishing initiatives and implementation lessons relevant to improved health research, particularly for data sharing during the coronavirus pandemic. Objective This paper aims to conduct a scoping review to identify concepts, approaches, implementation experiences, and lessons learned in FAIR initiatives in the health data domain. Methods The Arksey and O’Malley stage-based methodological framework for scoping reviews will be used for this review. PubMed, Web of Science, and Google Scholar will be searched to access relevant primary and grey publications. Articles written in English and published from 2014 onwards with FAIR principle concepts or practices in the health domain will be included. Duplication among the 3 data sources will be removed using a reference management software. The articles will then be exported to a systematic review management software. At least two independent authors will review the eligibility of each article based on defined inclusion and exclusion criteria. A pretested charting tool will be used to extract relevant information from the full-text papers. Qualitative thematic synthesis analysis methods will be employed by coding and developing themes. Themes will be derived from the research questions and contents in the included papers. Results The results will be reported using the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-analyses Extension for Scoping Reviews) reporting guidelines. We anticipate finalizing the manuscript for this work in 2021. Conclusions We believe comprehensive information about the FAIR data principles, initiatives, implementation practices, and lessons learned in the FAIRification process in the health domain is paramount to supporting both evidence-based clinical practice and research transparency in the era of big data and open research publishing. International Registered Report Identifier (IRRID) PRR1-10.2196/22505","systematic review","JMIR Research Protocols","3","10.2196/22505","https://consensus.app/papers/initiatives-concepts-and-implementation-practices-of-waltemath-sack/b66b8f5ab1cd523e88d777701aef2065/"
"Initiatives, Concepts, and Implementation Practices of FAIR (Findable, Accessible, Interoperable, and Reusable) Data Principles in Health Data Stewardship Practice: Protocol for a Scoping Review (Preprint)","FAIR data principles in health data stewardship can strengthen data sharing, reduce duplicated efforts, and improve research transparency in the era of big data and open research publishing.","E. Inau, Jean Sack, Dagmar Waltemath, A. Zeleke",2020,0,"
 BACKGROUND
 Data stewardship is an essential driver of research and clinical practice. Data collection, storage, access, sharing, and analytics are dependent on the proper and consistent use of data management principles among the investigators. Since 2016, the FAIR (findable, accessible, interoperable, and reusable) guiding principles for research data management have been resonating in scientific communities. Enabling data to be findable, accessible, interoperable, and reusable is currently believed to strengthen data sharing, reduce duplicated efforts, and move toward harmonization of data from heterogeneous unconnected data silos. FAIR initiatives and implementation trends are rising in different facets of scientific domains. It is important to understand the concepts and implementation practices of the FAIR data principles as applied to human health data by studying the flourishing initiatives and implementation lessons relevant to improved health research, particularly for data sharing during the coronavirus pandemic.
 
 
 OBJECTIVE
 This paper aims to conduct a scoping review to identify concepts, approaches, implementation experiences, and lessons learned in FAIR initiatives in the health data domain.
 
 
 METHODS
 The Arksey and O’Malley stage-based methodological framework for scoping reviews will be used for this review. PubMed, Web of Science, and Google Scholar will be searched to access relevant primary and grey publications. Articles written in English and published from 2014 onwards with FAIR principle concepts or practices in the health domain will be included. Duplication among the 3 data sources will be removed using a reference management software. The articles will then be exported to a systematic review management software. At least two independent authors will review the eligibility of each article based on defined inclusion and exclusion criteria. A pretested charting tool will be used to extract relevant information from the full-text papers. Qualitative thematic synthesis analysis methods will be employed by coding and developing themes. Themes will be derived from the research questions and contents in the included papers.
 
 
 RESULTS
 The results will be reported using the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-analyses Extension for Scoping Reviews) reporting guidelines. We anticipate finalizing the manuscript for this work in 2021.
 
 
 CONCLUSIONS
 We believe comprehensive information about the FAIR data principles, initiatives, implementation practices, and lessons learned in the FAIRification process in the health domain is paramount to supporting both evidence-based clinical practice and research transparency in the era of big data and open research publishing.
 
 
 INTERNATIONAL REGISTERED REPORT
 PRR1-10.2196/22505
","systematic review","","","10.2196/preprints.22505","https://consensus.app/papers/initiatives-concepts-and-implementation-practices-of-inau-zeleke/7af556096d225a3484efb3381782fca5/"
"Exploring the Current Practices, Costs and Benefits of FAIR Implementation in Pharmaceutical Research and Development: A Qualitative Interview Study","FAIR implementation in pharmaceutical research and development can potentially improve data reusability and save costs, but implementation costs and cultural change remain barriers.","Ebtisam Alharbi, R. Skeva, N. Juty, C. Jay, C. Goble",2021,14,"The findable, accessible, interoperable, reusable (FAIR) principles for scientific data management and stewardship aim to facilitate data reuse at scale by both humans and machines. Research and development (R&D) in the pharmaceutical industry is becoming increasingly data driven, but managing its data assets according to FAIR principles remains costly and challenging. To date, little scientific evidence exists about how FAIR is currently implemented in practice, what its associated costs and benefits are, and how decisions are made about the retrospective FAIRification of data sets in pharmaceutical R&D. This paper reports the results of semi-structured interviews with 14 pharmaceutical professionals who participate in various stages of drug R&D in seven pharmaceutical businesses. Inductive thematic analysis identified three primary themes of the benefits and costs of FAIRification, and the elements that influence the decision-making process for FAIRifying legacy data sets. Participants collectively acknowledged the potential contribution of FAIRification to data reusability in diverse research domains and the subsequent potential for cost-savings. Implementation costs, however, were still considered a barrier by participants, with the need for considerable expenditure in terms of resources, and cultural change. How decisions were made about FAIRification was influenced by legal and ethical considerations, management commitment, and data prioritisation. The findings have significant implications for those in the pharmaceutical R&D industry who are engaged in driving FAIR implementation, and for external parties who seek to better understand existing practices and challenges.","non-rct observational study","Data Intelligence","1","10.1162/dint_a_00109","https://consensus.app/papers/exploring-the-current-practices-costs-and-benefits-of-fair-alharbi-jay/a130e312429252d1b3fe66653b8cd6d6/"
"FAIRness for HL7 FHIR: supporting interoperability of health datasets","The HL7 FAIRness for FHIR implementation guide provides guidance on assessing and delivering FAIR health datasets using the HL7 FHIR standard, advancing the FAIRness of health data sets for open science, research, and innovation.","C. Chronaki, Giorgio Cangioli, Alicia Martinez, P. Damme, Carlos Luis, Parra Calderon",2021,1,"The FAIR (Finable Accessible Interoperable Reusable) principles have been established as best practice in the generation of health datasets for open science, research, and innovation. The FAIR4Health project (fair4health.eu) aims to encourage FAIRification and reuse of research data generated by publicly funded research projects. The Research Data Alliance (RDA) research community organization aims at building the social and technical infrastructure to enable open sharing and re-use of data. FAIR4Health and the RDA FAIR data maturity model WG initiated the HL7 FAIRness for FHIR implementation guide (IG) project to provide guidance on how to assess the FAIRness of health data sets with the RDA FAIR Data Maturity Model and support delivery of FAIR health datasets using the HL7 FHIR standard. In this paper, we present how we applied the guidance of the HL7 FAIRness for FHIR IG on selected PhysioNet datasets and reflect on the experience gained by discussing the recommendations of the IG on how to use HL7 FHIR resources to advance the FAIRness of health data sets.","","","","","https://consensus.app/papers/fairness-for-hl7-fhir-supporting-interoperability-of-chronaki-damme/8b3007e487f758e89cf18c9f9d1b3c53/"
"Aligning restricted access data with FAIR: a systematic review","This systematic literature review identifies various methods for making restricted data FAIR, providing a comprehensive conceptual framework for future research on restricted access data.","Margherita Martorana, Tobias Kuhn, R. Siebes, J. V. Ossenbruggen",2022,8,"Understanding the complexity of restricted research data is vitally important in the current new era of Open Science. While the FAIR Guiding Principles have been introduced to help researchers to make data Findable, Accessible, Interoperable and Reusable, it is still unclear how the notions of FAIR and Openness can be applied in the context of restricted data. Many methods have been proposed in support of the implementation of the principles, but there is yet no consensus among the scientific community as to the suitable mechanisms of making restricted data FAIR. We present here a systematic literature review to identify the methods applied by scientists when researching restricted data in a FAIR-compliant manner in the context of the FAIR principles. Through the employment of a descriptive and iterative study design, we aim to answer the following three questions: (1) What methods have been proposed to apply the FAIR principles to restricted data?, (2) How can the relevant aspects of the methods proposed be categorized?, (3) What is the maturity of the methods proposed in applying the FAIR principles to restricted data?. After analysis of the 40 included publications, we noticed that the methods found, reflect the stages of the Data Life Cycle, and can be divided into the following Classes: Data Collection, Metadata Representation, Data Processing, Anonymization, Data Publication, Data Usage and Post Data Usage. We observed that a large number of publications used ‘Access Control‘ and ‘Usage and License Terms’ methods, while others such as ‘Embargo on Data Release’ and the use of ‘Synthetic Data’ were used in fewer instances. In conclusion, we are presenting the first extensive literature review on the methods applied to confidential data in the context of FAIR, providing a comprehensive conceptual framework for future research on restricted access data.","systematic review","PeerJ Computer Science","1","10.7717/peerj-cs.1038","https://consensus.app/papers/aligning-restricted-access-data-with-fair-a-systematic-ossenbruggen-kuhn/5781e599cb345c7dad337bcb87c65a0d/"
"Experiences from compiling a FAIR survey in the German Network University Medicine","A FAIR survey was conducted in the German Network University Medicine to identify positive examples of FAIR data stewardship and motivate other projects to follow similar paths.","Lea Michaelis, Rasim Atakan Poyraz, M. R. Muzoora, Kerstin Gierend, A. Bartschke, Dagmar Waltemath, S. Thun",2023,0,"The FAIR guiding principles for data stewardship are a set of recommendations for making research objects findable, accessible, interoperable and reusable. FAIR assessment tools implement measures for these principles and thus enable research networks to evaluate how good they comply with current standards in open and reproducible science. Based on questions from two different FAIR assessment tools, we built a tailor-made survey for the FAIR evaluation of projects within the German Network University Medicine (NUM). Established at the start of the Covid-19 pandemic outbreak, NUM addressed the need to collect and integrate Covid-19 data across German University Hospitals. Technical developments aimed to follow, among others, the FAIR principles. Interested in the actual status of FAIRness, we conducted an online survey in 2022 across German Network University Medicine projects. The goal was to identify positive examples of FAIR data in the German Network University Medicine thus to motivate other projects to take similar routes.","non-rct observational study","","","","https://consensus.app/papers/experiences-from-compiling-a-fair-survey-in-the-german-waltemath-poyraz/394590ac835a5429bf97559a34fd2c0a/"
